location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
아이슬란드,2020-01-03,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-04,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-05,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-06,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-07,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-08,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-09,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-10,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-11,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-12,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-13,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-14,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-15,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-16,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-17,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-18,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-19,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-20,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-21,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-22,,,,,,,,0.0,5.31,372903
아이슬란드,2020-01-23,,,,,,,,11.11,5.31,372903
아이슬란드,2020-01-24,,,,,,,,11.11,5.31,372903
아이슬란드,2020-01-25,,,,,,,,11.11,5.31,372903
아이슬란드,2020-01-26,,,,,,,,11.11,5.31,372903
아이슬란드,2020-01-27,,,,,,,,11.11,5.31,372903
아이슬란드,2020-01-28,,,,,,,,11.11,5.31,372903
아이슬란드,2020-01-29,,,,,,,,16.67,5.31,372903
아이슬란드,2020-01-30,,,,,,,,16.67,5.31,372903
아이슬란드,2020-01-31,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-01,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-02,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-03,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-04,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-05,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-06,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-07,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-08,,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-09,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-10,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-11,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-12,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-13,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-14,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-15,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-16,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-17,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-18,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-19,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-20,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-21,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-22,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-23,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-24,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-25,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-26,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-27,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-28,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-02-29,15.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-01,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-02,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-03,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-04,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-05,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-06,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-07,22.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-08,75.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-09,75.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-10,75.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-11,75.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-12,75.0,,,,,,,16.67,5.31,372903
아이슬란드,2020-03-13,75.0,,1.7,,,,,16.67,5.31,372903
아이슬란드,2020-03-14,75.0,,1.69,,,,,16.67,5.31,372903
아이슬란드,2020-03-15,192.0,,1.68,,,,,25.0,5.31,372903
아이슬란드,2020-03-16,192.0,,1.68,,,,,50.93,5.31,372903
아이슬란드,2020-03-17,192.0,,1.7,,,,,50.93,5.31,372903
아이슬란드,2020-03-18,192.0,,1.71,,,,,50.93,5.31,372903
아이슬란드,2020-03-19,192.0,,1.71,,,,,50.93,5.31,372903
아이슬란드,2020-03-20,192.0,,1.69,,,,,53.7,5.31,372903
아이슬란드,2020-03-21,192.0,,1.65,,,,,53.7,5.31,372903
아이슬란드,2020-03-22,653.0,1.0,1.6,,,,,53.7,5.31,372903
아이슬란드,2020-03-23,653.0,1.0,1.53,,,,,53.7,5.31,372903
아이슬란드,2020-03-24,653.0,1.0,1.48,,,,,53.7,5.31,372903
아이슬란드,2020-03-25,653.0,1.0,1.43,,,,,53.7,5.31,372903
아이슬란드,2020-03-26,653.0,1.0,1.37,,,,,53.7,5.31,372903
아이슬란드,2020-03-27,653.0,1.0,1.32,,,,,53.7,5.31,372903
아이슬란드,2020-03-28,653.0,1.0,1.28,,,,,53.7,5.31,372903
아이슬란드,2020-03-29,1162.0,2.0,1.23,,,,,53.7,5.31,372903
아이슬란드,2020-03-30,1162.0,2.0,1.18,,,,,53.7,5.31,372903
아이슬란드,2020-03-31,1162.0,2.0,1.13,,,,,53.7,5.31,372903
아이슬란드,2020-04-01,1162.0,2.0,1.08,,,,,53.7,5.31,372903
아이슬란드,2020-04-02,1162.0,2.0,1.03,,,,,53.7,5.31,372903
아이슬란드,2020-04-03,1162.0,2.0,0.98,,,,,53.7,5.31,372903
아이슬란드,2020-04-04,1162.0,2.0,0.93,,,,,53.7,5.31,372903
아이슬란드,2020-04-05,1602.0,6.0,0.88,,,,,53.7,5.31,372903
아이슬란드,2020-04-06,1602.0,6.0,0.83,,,,,53.7,5.31,372903
아이슬란드,2020-04-07,1602.0,6.0,0.77,,,,,53.7,5.31,372903
아이슬란드,2020-04-08,1602.0,6.0,0.71,,,,,53.7,5.31,372903
아이슬란드,2020-04-09,1602.0,6.0,0.66,,,,,53.7,5.31,372903
아이슬란드,2020-04-10,1602.0,6.0,0.61,,,,,53.7,5.31,372903
아이슬란드,2020-04-11,1602.0,6.0,0.57,,,,,53.7,5.31,372903
아이슬란드,2020-04-12,1737.0,8.0,0.54,,,,,53.7,5.31,372903
아이슬란드,2020-04-13,1737.0,8.0,0.51,,,,,53.7,5.31,372903
아이슬란드,2020-04-14,1737.0,8.0,0.48,,,,,53.7,5.31,372903
아이슬란드,2020-04-15,1737.0,8.0,0.45,,,,,53.7,5.31,372903
아이슬란드,2020-04-16,1737.0,8.0,0.43,,,,,53.7,5.31,372903
아이슬란드,2020-04-17,1737.0,8.0,0.41,,,,,53.7,5.31,372903
아이슬란드,2020-04-18,1737.0,8.0,0.39,,,,,53.7,5.31,372903
아이슬란드,2020-04-19,1790.0,9.0,0.37,,,,,53.7,5.31,372903
아이슬란드,2020-04-20,1790.0,9.0,0.35,,,,,53.7,5.31,372903
아이슬란드,2020-04-21,1790.0,9.0,0.33,,,,,53.7,5.31,372903
아이슬란드,2020-04-22,1790.0,9.0,0.31,,,,,53.7,5.31,372903
아이슬란드,2020-04-23,1790.0,9.0,0.29,,,,,53.7,5.31,372903
아이슬란드,2020-04-24,1790.0,9.0,0.27,,,,,53.7,5.31,372903
아이슬란드,2020-04-25,1790.0,9.0,0.26,,,,,53.7,5.31,372903
아이슬란드,2020-04-26,1806.0,10.0,0.25,,,,,53.7,5.31,372903
아이슬란드,2020-04-27,1806.0,10.0,0.25,,,,,53.7,5.31,372903
아이슬란드,2020-04-28,1806.0,10.0,0.24,,,,,53.7,5.31,372903
아이슬란드,2020-04-29,1806.0,10.0,0.23,,,,,53.7,5.31,372903
아이슬란드,2020-04-30,1806.0,10.0,0.22,,,,,53.7,5.31,372903
아이슬란드,2020-05-01,1806.0,10.0,0.21,,,,,53.7,5.31,372903
아이슬란드,2020-05-02,1806.0,10.0,0.21,,,,,53.7,5.31,372903
아이슬란드,2020-05-03,1813.0,10.0,0.22,,,,,53.7,5.31,372903
아이슬란드,2020-05-04,1813.0,10.0,0.22,,,,,50.0,5.31,372903
아이슬란드,2020-05-05,1813.0,10.0,0.22,,,,,50.0,5.31,372903
아이슬란드,2020-05-06,1813.0,10.0,0.22,,,,,50.0,5.31,372903
아이슬란드,2020-05-07,1813.0,10.0,0.23,,,,,50.0,5.31,372903
아이슬란드,2020-05-08,1813.0,10.0,0.23,,,,,50.0,5.31,372903
아이슬란드,2020-05-09,1813.0,10.0,0.24,,,,,50.0,5.31,372903
아이슬란드,2020-05-10,1815.0,10.0,0.25,,,,,50.0,5.31,372903
아이슬란드,2020-05-11,1815.0,10.0,0.27,,,,,50.0,5.31,372903
아이슬란드,2020-05-12,1815.0,10.0,0.28,,,,,50.0,5.31,372903
아이슬란드,2020-05-13,1815.0,10.0,0.29,,,,,50.0,5.31,372903
아이슬란드,2020-05-14,1815.0,10.0,0.31,,,,,50.0,5.31,372903
아이슬란드,2020-05-15,1815.0,10.0,0.33,,,,,50.0,5.31,372903
아이슬란드,2020-05-16,1815.0,10.0,0.35,,,,,50.0,5.31,372903
아이슬란드,2020-05-17,1816.0,10.0,0.39,,,,,50.0,5.31,372903
아이슬란드,2020-05-18,1816.0,10.0,0.43,,,,,50.0,5.31,372903
아이슬란드,2020-05-19,1816.0,10.0,0.48,,,,,50.0,5.31,372903
아이슬란드,2020-05-20,1816.0,10.0,0.52,,,,,50.0,5.31,372903
아이슬란드,2020-05-21,1816.0,10.0,0.55,,,,,50.0,5.31,372903
아이슬란드,2020-05-22,1816.0,10.0,0.58,,,,,50.0,5.31,372903
아이슬란드,2020-05-23,1816.0,10.0,0.61,,,,,50.0,5.31,372903
아이슬란드,2020-05-24,1818.0,10.0,0.62,,,,,50.0,5.31,372903
아이슬란드,2020-05-25,1818.0,10.0,0.63,,,,,39.81,5.31,372903
아이슬란드,2020-05-26,1818.0,10.0,0.64,,,,,39.81,5.31,372903
아이슬란드,2020-05-27,1818.0,10.0,0.66,,,,,39.81,5.31,372903
아이슬란드,2020-05-28,1818.0,10.0,0.64,,,,,39.81,5.31,372903
아이슬란드,2020-05-29,1818.0,10.0,0.63,,,,,39.81,5.31,372903
아이슬란드,2020-05-30,1818.0,10.0,0.62,,,,,39.81,5.31,372903
아이슬란드,2020-05-31,1820.0,10.0,0.57,,,,,39.81,5.31,372903
아이슬란드,2020-06-01,1820.0,10.0,0.52,,,,,39.81,5.31,372903
아이슬란드,2020-06-02,1820.0,10.0,0.48,,,,,39.81,5.31,372903
아이슬란드,2020-06-03,1820.0,10.0,0.43,,,,,39.81,5.31,372903
아이슬란드,2020-06-04,1820.0,10.0,0.42,,,,,39.81,5.31,372903
아이슬란드,2020-06-05,1820.0,10.0,0.41,,,,,39.81,5.31,372903
아이슬란드,2020-06-06,1820.0,10.0,0.41,,,,,39.81,5.31,372903
아이슬란드,2020-06-07,1821.0,10.0,0.43,,,,,39.81,5.31,372903
아이슬란드,2020-06-08,1821.0,10.0,0.44,,,,,39.81,5.31,372903
아이슬란드,2020-06-09,1821.0,10.0,0.46,,,,,39.81,5.31,372903
아이슬란드,2020-06-10,1821.0,10.0,0.49,,,,,39.81,5.31,372903
아이슬란드,2020-06-11,1821.0,10.0,0.54,,,,,39.81,5.31,372903
아이슬란드,2020-06-12,1821.0,10.0,0.61,,,,,39.81,5.31,372903
아이슬란드,2020-06-13,1821.0,10.0,0.69,,,,,39.81,5.31,372903
아이슬란드,2020-06-14,1823.0,10.0,0.76,,,,,39.81,5.31,372903
아이슬란드,2020-06-15,1823.0,10.0,0.84,,,,,39.81,5.31,372903
아이슬란드,2020-06-16,1823.0,10.0,0.89,,,,,39.81,5.31,372903
아이슬란드,2020-06-17,1823.0,10.0,0.93,,,,,39.81,5.31,372903
아이슬란드,2020-06-18,1823.0,10.0,0.98,,,,,39.81,5.31,372903
아이슬란드,2020-06-19,1823.0,10.0,0.99,,,,,39.81,5.31,372903
아이슬란드,2020-06-20,1823.0,10.0,1.0,,,,,39.81,5.31,372903
아이슬란드,2020-06-21,1828.0,10.0,1.01,,,,,39.81,5.31,372903
아이슬란드,2020-06-22,1828.0,10.0,1.04,,,,,39.81,5.31,372903
아이슬란드,2020-06-23,1828.0,10.0,1.09,,,,,39.81,5.31,372903
아이슬란드,2020-06-24,1828.0,10.0,1.17,,,,,39.81,5.31,372903
아이슬란드,2020-06-25,1828.0,10.0,1.18,,,,,39.81,5.31,372903
아이슬란드,2020-06-26,1828.0,10.0,1.18,,,,,39.81,5.31,372903
아이슬란드,2020-06-27,1828.0,10.0,1.16,,,,,39.81,5.31,372903
아이슬란드,2020-06-28,1834.0,10.0,1.14,,,,,39.81,5.31,372903
아이슬란드,2020-06-29,1834.0,10.0,1.12,,,,,39.81,5.31,372903
아이슬란드,2020-06-30,1834.0,10.0,1.09,,,,,39.81,5.31,372903
아이슬란드,2020-07-01,1834.0,10.0,1.04,,,,,39.81,5.31,372903
아이슬란드,2020-07-02,1834.0,10.0,0.99,,,,,39.81,5.31,372903
아이슬란드,2020-07-03,1834.0,10.0,0.94,,,,,39.81,5.31,372903
아이슬란드,2020-07-04,1834.0,10.0,0.91,,,,,39.81,5.31,372903
아이슬란드,2020-07-05,1843.0,10.0,0.9,,,,,39.81,5.31,372903
아이슬란드,2020-07-06,1843.0,10.0,0.89,,,,,39.81,5.31,372903
아이슬란드,2020-07-07,1843.0,10.0,0.86,,,,,39.81,5.31,372903
아이슬란드,2020-07-08,1843.0,10.0,0.84,,,,,39.81,5.31,372903
아이슬란드,2020-07-09,1843.0,10.0,0.83,,,,,39.81,5.31,372903
아이슬란드,2020-07-10,1843.0,10.0,0.85,,,,,39.81,5.31,372903
아이슬란드,2020-07-11,1843.0,10.0,0.89,,,,,39.81,5.31,372903
아이슬란드,2020-07-12,1846.0,10.0,0.95,,,,,39.81,5.31,372903
아이슬란드,2020-07-13,1846.0,10.0,1.02,,,,,39.81,5.31,372903
아이슬란드,2020-07-14,1846.0,10.0,1.1,,,,,39.81,5.31,372903
아이슬란드,2020-07-15,1846.0,10.0,1.12,,,,,39.81,5.31,372903
아이슬란드,2020-07-16,1846.0,10.0,1.15,,,,,39.81,5.31,372903
아이슬란드,2020-07-17,1846.0,10.0,1.19,,,,,39.81,5.31,372903
아이슬란드,2020-07-18,1846.0,10.0,1.25,,,,,39.81,5.31,372903
아이슬란드,2020-07-19,1852.0,10.0,1.26,,,,,39.81,5.31,372903
아이슬란드,2020-07-20,1852.0,10.0,1.26,,,,,39.81,5.31,372903
아이슬란드,2020-07-21,1852.0,10.0,1.28,,,,,39.81,5.31,372903
아이슬란드,2020-07-22,1852.0,10.0,1.33,,,,,39.81,5.31,372903
아이슬란드,2020-07-23,1852.0,10.0,1.37,,,,,39.81,5.31,372903
아이슬란드,2020-07-24,1852.0,10.0,1.42,,,,,39.81,5.31,372903
아이슬란드,2020-07-25,1852.0,10.0,1.44,,,,,39.81,5.31,372903
아이슬란드,2020-07-26,1868.0,10.0,1.49,,,,,39.81,5.31,372903
아이슬란드,2020-07-27,1868.0,10.0,1.54,,,,,39.81,5.31,372903
아이슬란드,2020-07-28,1868.0,10.0,1.59,,,,,39.81,5.31,372903
아이슬란드,2020-07-29,1868.0,10.0,1.63,,,,,39.81,5.31,372903
아이슬란드,2020-07-30,1868.0,10.0,1.68,,,,,39.81,5.31,372903
아이슬란드,2020-07-31,1868.0,10.0,1.67,,,,,46.3,5.31,372903
아이슬란드,2020-08-01,1868.0,10.0,1.63,,,,,46.3,5.31,372903
아이슬란드,2020-08-02,1927.0,10.0,1.58,,,,,46.3,5.31,372903
아이슬란드,2020-08-03,1927.0,10.0,1.52,,,,,46.3,5.31,372903
아이슬란드,2020-08-04,1927.0,10.0,1.45,,,,,46.3,5.31,372903
아이슬란드,2020-08-05,1927.0,10.0,1.4,,,,,46.3,5.31,372903
아이슬란드,2020-08-06,1927.0,10.0,1.35,,,,,46.3,5.31,372903
아이슬란드,2020-08-07,1927.0,10.0,1.32,,,,,46.3,5.31,372903
아이슬란드,2020-08-08,1927.0,10.0,1.26,,,,,46.3,5.31,372903
아이슬란드,2020-08-09,1974.0,10.0,1.22,,,,,46.3,5.31,372903
아이슬란드,2020-08-10,1974.0,10.0,1.2,,,,,46.3,5.31,372903
아이슬란드,2020-08-11,1974.0,10.0,1.18,,,,,46.3,5.31,372903
아이슬란드,2020-08-12,1974.0,10.0,1.16,,,,,46.3,5.31,372903
아이슬란드,2020-08-13,1974.0,10.0,1.16,,,,,46.3,5.31,372903
아이슬란드,2020-08-14,1974.0,10.0,1.17,,,,,46.3,5.31,372903
아이슬란드,2020-08-15,1974.0,10.0,1.18,,,,,46.3,5.31,372903
아이슬란드,2020-08-16,2028.0,10.0,1.17,,,,,46.3,5.31,372903
아이슬란드,2020-08-17,2028.0,10.0,1.15,,,,,46.3,5.31,372903
아이슬란드,2020-08-18,2028.0,10.0,1.13,,,,,46.3,5.31,372903
아이슬란드,2020-08-19,2028.0,10.0,1.1,,,,,46.3,5.31,372903
아이슬란드,2020-08-20,2028.0,10.0,1.07,,,,,46.3,5.31,372903
아이슬란드,2020-08-21,2028.0,10.0,1.05,,,,,46.3,5.31,372903
아이슬란드,2020-08-22,2028.0,10.0,1.03,,,,,46.3,5.31,372903
아이슬란드,2020-08-23,2083.0,10.0,1.02,,,,,46.3,5.31,372903
아이슬란드,2020-08-24,2083.0,10.0,1.0,,,,,46.3,5.31,372903
아이슬란드,2020-08-25,2083.0,10.0,0.98,,,,,46.3,5.31,372903
아이슬란드,2020-08-26,2083.0,10.0,0.97,,,,,46.3,5.31,372903
아이슬란드,2020-08-27,2083.0,10.0,0.96,,,,,46.3,5.31,372903
아이슬란드,2020-08-28,2083.0,10.0,0.96,,,,,46.3,5.31,372903
아이슬란드,2020-08-29,2083.0,10.0,0.97,,,,,46.3,5.31,372903
아이슬란드,2020-08-30,2124.0,10.0,0.98,,,,,46.3,5.31,372903
아이슬란드,2020-08-31,2124.0,10.0,0.99,,,,,46.3,5.31,372903
아이슬란드,2020-09-01,2124.0,10.0,1.0,,,,,46.3,5.31,372903
아이슬란드,2020-09-02,2124.0,10.0,1.01,,,,,46.3,5.31,372903
아이슬란드,2020-09-03,2124.0,10.0,1.02,,,,,46.3,5.31,372903
아이슬란드,2020-09-04,2124.0,10.0,1.03,,,,,46.3,5.31,372903
아이슬란드,2020-09-05,2124.0,10.0,1.04,,,,,46.3,5.31,372903
아이슬란드,2020-09-06,2156.0,10.0,1.07,,,,,46.3,5.31,372903
아이슬란드,2020-09-07,2156.0,10.0,1.11,,,,,37.96,5.31,372903
아이슬란드,2020-09-08,2156.0,10.0,1.15,,,,,37.96,5.31,372903
아이슬란드,2020-09-09,2156.0,10.0,1.18,,,,,37.96,5.31,372903
아이슬란드,2020-09-10,2156.0,10.0,1.23,,,,,37.96,5.31,372903
아이슬란드,2020-09-11,2156.0,10.0,1.29,,,,,37.96,5.31,372903
아이슬란드,2020-09-12,2156.0,10.0,1.37,,,,,37.96,5.31,372903
아이슬란드,2020-09-13,2181.0,10.0,1.48,,,,,37.96,5.31,372903
아이슬란드,2020-09-14,2181.0,10.0,1.59,,,,,37.96,5.31,372903
아이슬란드,2020-09-15,2181.0,10.0,1.72,,,,,37.96,5.31,372903
아이슬란드,2020-09-16,2181.0,10.0,1.86,,,,,37.96,5.31,372903
아이슬란드,2020-09-17,2181.0,10.0,1.96,,,,,37.96,5.31,372903
아이슬란드,2020-09-18,2181.0,10.0,2.03,,,,,37.96,5.31,372903
아이슬란드,2020-09-19,2181.0,10.0,2.08,,,,,37.96,5.31,372903
아이슬란드,2020-09-20,2393.0,10.0,2.02,,,,,37.96,5.31,372903
아이슬란드,2020-09-21,2393.0,10.0,1.98,,,,,37.96,5.31,372903
아이슬란드,2020-09-22,2393.0,10.0,1.9,,,,,37.96,5.31,372903
아이슬란드,2020-09-23,2393.0,10.0,1.82,,,,,37.96,5.31,372903
아이슬란드,2020-09-24,2393.0,10.0,1.73,,,,,37.96,5.31,372903
아이슬란드,2020-09-25,2393.0,10.0,1.66,,,,,37.96,5.31,372903
아이슬란드,2020-09-26,2393.0,10.0,1.59,,,,,37.96,5.31,372903
아이슬란드,2020-09-27,2673.0,10.0,1.55,,,,,37.96,5.31,372903
아이슬란드,2020-09-28,2673.0,10.0,1.5,,,,,37.96,5.31,372903
아이슬란드,2020-09-29,2673.0,10.0,1.47,,,,,37.96,5.31,372903
아이슬란드,2020-09-30,2673.0,10.0,1.45,,,,,37.96,5.31,372903
아이슬란드,2020-10-01,2673.0,10.0,1.44,,,,,37.96,5.31,372903
아이슬란드,2020-10-02,2673.0,10.0,1.43,,,,,37.96,5.31,372903
아이슬란드,2020-10-03,2673.0,10.0,1.43,,,,,37.96,5.31,372903
아이슬란드,2020-10-04,2994.0,10.0,1.43,,,,,37.96,5.31,372903
아이슬란드,2020-10-05,2994.0,10.0,1.43,,,,,40.74,5.31,372903
아이슬란드,2020-10-06,2994.0,10.0,1.42,,,,,40.74,5.31,372903
아이슬란드,2020-10-07,2994.0,10.0,1.4,,,,,40.74,5.31,372903
아이슬란드,2020-10-08,2994.0,10.0,1.37,,,,,40.74,5.31,372903
아이슬란드,2020-10-09,2994.0,10.0,1.33,,,,,40.74,5.31,372903
아이슬란드,2020-10-10,2994.0,10.0,1.29,,,,,40.74,5.31,372903
아이슬란드,2020-10-11,3597.0,11.0,1.25,,,,,40.74,5.31,372903
아이슬란드,2020-10-12,3597.0,11.0,1.21,,,,,40.74,5.31,372903
아이슬란드,2020-10-13,3597.0,11.0,1.18,,,,,40.74,5.31,372903
아이슬란드,2020-10-14,3597.0,11.0,1.15,,,,,40.74,5.31,372903
아이슬란드,2020-10-15,3597.0,11.0,1.12,,,,,40.74,5.31,372903
아이슬란드,2020-10-16,3597.0,11.0,1.09,,,,,40.74,5.31,372903
아이슬란드,2020-10-17,3597.0,11.0,1.05,,,,,40.74,5.31,372903
아이슬란드,2020-10-18,4129.0,12.0,1.03,,,,,40.74,5.31,372903
아이슬란드,2020-10-19,4129.0,12.0,1.0,,,,,40.74,5.31,372903
아이슬란드,2020-10-20,4129.0,12.0,0.98,,,,,47.22,5.31,372903
아이슬란드,2020-10-21,4129.0,12.0,0.96,,,,,47.22,5.31,372903
아이슬란드,2020-10-22,4129.0,12.0,0.94,,,,,47.22,5.31,372903
아이슬란드,2020-10-23,4129.0,12.0,0.94,,,,,47.22,5.31,372903
아이슬란드,2020-10-24,4129.0,12.0,0.94,,,,,47.22,5.31,372903
아이슬란드,2020-10-25,4526.0,12.0,0.93,,,,,47.22,5.31,372903
아이슬란드,2020-10-26,4526.0,12.0,0.92,,,,,47.22,5.31,372903
아이슬란드,2020-10-27,4526.0,12.0,0.91,,,,,47.22,5.31,372903
아이슬란드,2020-10-28,4526.0,12.0,0.89,,,,,47.22,5.31,372903
아이슬란드,2020-10-29,4526.0,12.0,0.87,,,,,47.22,5.31,372903
아이슬란드,2020-10-30,4526.0,12.0,0.84,,,,,47.22,5.31,372903
아이슬란드,2020-10-31,4526.0,12.0,0.81,,,,,52.78,5.31,372903
아이슬란드,2020-11-01,4934.0,17.0,0.78,,,,,52.78,5.31,372903
아이슬란드,2020-11-02,4934.0,17.0,0.75,,,,,52.78,5.31,372903
아이슬란드,2020-11-03,4934.0,17.0,0.72,,,,,52.78,5.31,372903
아이슬란드,2020-11-04,4934.0,17.0,0.7,,,,,52.78,5.31,372903
아이슬란드,2020-11-05,4934.0,17.0,0.68,,,,,52.78,5.31,372903
아이슬란드,2020-11-06,4934.0,17.0,0.66,,,,,52.78,5.31,372903
아이슬란드,2020-11-07,4934.0,17.0,0.65,,,,,52.78,5.31,372903
아이슬란드,2020-11-08,5108.0,24.0,0.64,,,,,52.78,5.31,372903
아이슬란드,2020-11-09,5108.0,24.0,0.64,,,,,52.78,5.31,372903
아이슬란드,2020-11-10,5108.0,24.0,0.64,,,,,52.78,5.31,372903
아이슬란드,2020-11-11,5108.0,24.0,0.64,,,,,52.78,5.31,372903
아이슬란드,2020-11-12,5108.0,24.0,0.63,,,,,52.78,5.31,372903
아이슬란드,2020-11-13,5108.0,24.0,0.63,,,,,52.78,5.31,372903
아이슬란드,2020-11-14,5108.0,24.0,0.64,,,,,52.78,5.31,372903
아이슬란드,2020-11-15,5216.0,25.0,0.65,,,,,52.78,5.31,372903
아이슬란드,2020-11-16,5216.0,25.0,0.66,,,,,52.78,5.31,372903
아이슬란드,2020-11-17,5216.0,25.0,0.68,,,,,52.78,5.31,372903
아이슬란드,2020-11-18,5216.0,25.0,0.69,,,,,52.78,5.31,372903
아이슬란드,2020-11-19,5216.0,25.0,0.72,,,,,52.78,5.31,372903
아이슬란드,2020-11-20,5216.0,25.0,0.75,,,,,52.78,5.31,372903
아이슬란드,2020-11-21,5216.0,25.0,0.77,,,,,52.78,5.31,372903
아이슬란드,2020-11-22,5296.0,26.0,0.79,,,,,52.78,5.31,372903
아이슬란드,2020-11-23,5296.0,26.0,0.81,,,,,52.78,5.31,372903
아이슬란드,2020-11-24,5296.0,26.0,0.83,,,,,52.78,5.31,372903
아이슬란드,2020-11-25,5296.0,26.0,0.86,,,,,52.78,5.31,372903
아이슬란드,2020-11-26,5296.0,26.0,0.88,,,,,52.78,5.31,372903
아이슬란드,2020-11-27,5296.0,26.0,0.91,,,,,52.78,5.31,372903
아이슬란드,2020-11-28,5296.0,26.0,0.92,,,,,52.78,5.31,372903
아이슬란드,2020-11-29,5403.0,26.0,0.92,,,,,52.78,5.31,372903
아이슬란드,2020-11-30,5403.0,26.0,0.92,,,,,52.78,5.31,372903
아이슬란드,2020-12-01,5403.0,26.0,0.93,,,,,52.78,5.31,372903
아이슬란드,2020-12-02,5403.0,26.0,0.93,,,,,52.78,5.31,372903
아이슬란드,2020-12-03,5403.0,26.0,0.94,,,,,52.78,5.31,372903
아이슬란드,2020-12-04,5403.0,26.0,0.93,,,,,52.78,5.31,372903
아이슬란드,2020-12-05,5403.0,26.0,0.91,,,,,52.78,5.31,372903
아이슬란드,2020-12-06,5508.0,27.0,0.9,,,,,52.78,5.31,372903
아이슬란드,2020-12-07,5508.0,27.0,0.89,,,,,52.78,5.31,372903
아이슬란드,2020-12-08,5508.0,27.0,0.89,,,,,52.78,5.31,372903
아이슬란드,2020-12-09,5508.0,27.0,0.89,,,,,52.78,5.31,372903
아이슬란드,2020-12-10,5508.0,27.0,0.89,,,,,52.78,5.31,372903
아이슬란드,2020-12-11,5508.0,27.0,0.9,,,,,52.78,5.31,372903
아이슬란드,2020-12-12,5508.0,27.0,0.9,,,,,52.78,5.31,372903
아이슬란드,2020-12-13,5572.0,28.0,0.9,,,,,52.78,5.31,372903
