location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
웨일즈,2020-04-01,,,,,,,,,,3170000
웨일즈,2020-04-02,,,,,,,,,,3170000
웨일즈,2020-04-03,,,,,,,,,,3170000
웨일즈,2020-04-04,,,,,,,,,,3170000
웨일즈,2020-04-05,,,,,,,,,,3170000
웨일즈,2020-04-06,,,,,,,,,,3170000
웨일즈,2020-04-07,,,,,,,,,,3170000
웨일즈,2020-04-08,,,,,,,,,,3170000
웨일즈,2020-04-09,,,,,,,,,,3170000
웨일즈,2020-04-10,,,,,,,,,,3170000
웨일즈,2020-04-11,,,,,,,,,,3170000
웨일즈,2020-04-12,,,,,,,,,,3170000
웨일즈,2020-04-13,,,,,,,,,,3170000
웨일즈,2020-04-14,,,,,,,,,,3170000
웨일즈,2020-04-15,,,,,,,,,,3170000
웨일즈,2020-04-16,,,,,,,,,,3170000
웨일즈,2020-04-17,,,,,,,,,,3170000
웨일즈,2020-04-18,,,,,,,,,,3170000
웨일즈,2020-04-19,,,,,,,,,,3170000
웨일즈,2020-04-20,,,,,,,,,,3170000
웨일즈,2020-04-21,,,,,,,,,,3170000
웨일즈,2020-04-22,,,,,,,,,,3170000
웨일즈,2020-04-23,,,,,,,,,,3170000
웨일즈,2020-04-24,,,,,,,,,,3170000
웨일즈,2020-04-25,,,,,,,,,,3170000
웨일즈,2020-04-26,,,,,,,,,,3170000
웨일즈,2020-04-27,,,,,,,,,,3170000
웨일즈,2020-04-28,,,,,,,,,,3170000
웨일즈,2020-04-29,,,,,,,,,,3170000
웨일즈,2020-04-30,,,,,,,,,,3170000
웨일즈,2020-05-01,,,,,,,,,,3170000
웨일즈,2020-05-02,,,,,,,,,,3170000
웨일즈,2020-05-03,,,,,,,,,,3170000
웨일즈,2020-05-04,,,,,,,,,,3170000
웨일즈,2020-05-05,,,,,,,,,,3170000
웨일즈,2020-05-06,,,,,,,,,,3170000
웨일즈,2020-05-07,,,,,,,,,,3170000
웨일즈,2020-05-08,,,,,,,,,,3170000
웨일즈,2020-05-09,,,,,,,,,,3170000
웨일즈,2020-05-10,,,,,,,,,,3170000
웨일즈,2020-05-11,,,,,,,,,,3170000
웨일즈,2020-05-12,,,,,,,,,,3170000
웨일즈,2020-05-13,,,,,,,,,,3170000
웨일즈,2020-05-14,,,,,,,,,,3170000
웨일즈,2020-05-15,,,,,,,,,,3170000
웨일즈,2020-05-16,,,,,,,,,,3170000
웨일즈,2020-05-17,,,,,,,,,,3170000
웨일즈,2020-05-18,,,,,,,,,,3170000
웨일즈,2020-05-19,,,,,,,,,,3170000
웨일즈,2020-05-20,,,,,,,,,,3170000
웨일즈,2020-05-21,,,,,,,,,,3170000
웨일즈,2020-05-22,,,,,,,,,,3170000
웨일즈,2020-05-23,,,,,,,,,,3170000
웨일즈,2020-05-24,,,,,,,,,,3170000
웨일즈,2020-05-25,,,,,,,,,,3170000
웨일즈,2020-05-26,,,,,,,,,,3170000
웨일즈,2020-05-27,,,,,,,,,,3170000
웨일즈,2020-05-28,,,,,,,,,,3170000
웨일즈,2020-05-29,,,,,,,,,,3170000
웨일즈,2020-05-30,,,,,,,,,,3170000
웨일즈,2020-05-31,,,,,,,,,,3170000
웨일즈,2020-06-01,,,,,,,,,,3170000
웨일즈,2020-06-02,,,,,,,,,,3170000
웨일즈,2020-06-03,,,,,,,,,,3170000
웨일즈,2020-06-04,,,,,,,,,,3170000
웨일즈,2020-06-05,,,,,,,,,,3170000
웨일즈,2020-06-06,,,,,,,,,,3170000
웨일즈,2020-06-07,,,,,,,,,,3170000
웨일즈,2020-06-08,,,,,,,,,,3170000
웨일즈,2020-06-09,,,,,,,,,,3170000
웨일즈,2020-06-10,,,,,,,,,,3170000
웨일즈,2020-06-11,,,,,,,,,,3170000
웨일즈,2020-06-12,,,,,,,,,,3170000
웨일즈,2020-06-13,,,,,,,,,,3170000
웨일즈,2020-06-14,,,,,,,,,,3170000
웨일즈,2020-06-15,,,,,,,,,,3170000
웨일즈,2020-06-16,,,,,,,,,,3170000
웨일즈,2020-06-17,,,,,,,,,,3170000
웨일즈,2020-06-18,,,,,,,,,,3170000
웨일즈,2020-06-19,,,,,,,,,,3170000
웨일즈,2020-06-20,,,,,,,,,,3170000
웨일즈,2020-06-21,,,,,,,,,,3170000
웨일즈,2020-06-22,,,,,,,,,,3170000
웨일즈,2020-06-23,,,,,,,,,,3170000
웨일즈,2020-06-24,,,,,,,,,,3170000
웨일즈,2020-06-25,,,,,,,,,,3170000
웨일즈,2020-06-26,,,,,,,,,,3170000
웨일즈,2020-06-27,,,,,,,,,,3170000
웨일즈,2020-06-28,,,,,,,,,,3170000
웨일즈,2020-06-29,,,,,,,,,,3170000
웨일즈,2020-06-30,,,,,,,,,,3170000
웨일즈,2020-07-01,,,,,,,,,,3170000
웨일즈,2020-07-02,,,,,,,,,,3170000
웨일즈,2020-07-03,,,,,,,,,,3170000
웨일즈,2020-07-04,,,,,,,,,,3170000
웨일즈,2020-07-05,,,,,,,,,,3170000
웨일즈,2020-07-06,,,,,,,,,,3170000
웨일즈,2020-07-07,,,,,,,,,,3170000
웨일즈,2020-07-08,,,,,,,,,,3170000
웨일즈,2020-07-09,,,,,,,,,,3170000
웨일즈,2020-07-10,,,,,,,,,,3170000
웨일즈,2020-07-11,,,,,,,,,,3170000
웨일즈,2020-07-12,,,,,,,,,,3170000
웨일즈,2020-07-13,,,,,,,,,,3170000
웨일즈,2020-07-14,,,,,,,,,,3170000
웨일즈,2020-07-15,,,,,,,,,,3170000
웨일즈,2020-07-16,,,,,,,,,,3170000
웨일즈,2020-07-17,,,,,,,,,,3170000
웨일즈,2020-07-18,,,,,,,,,,3170000
웨일즈,2020-07-19,,,,,,,,,,3170000
웨일즈,2020-07-20,,,,,,,,,,3170000
웨일즈,2020-07-21,,,,,,,,,,3170000
웨일즈,2020-07-22,,,,,,,,,,3170000
웨일즈,2020-07-23,,,,,,,,,,3170000
웨일즈,2020-07-24,,,,,,,,,,3170000
웨일즈,2020-07-25,,,,,,,,,,3170000
웨일즈,2020-07-26,,,,,,,,,,3170000
웨일즈,2020-07-27,,,,,,,,,,3170000
웨일즈,2020-07-28,,,,,,,,,,3170000
웨일즈,2020-07-29,,,,,,,,,,3170000
웨일즈,2020-07-30,,,,,,,,,,3170000
웨일즈,2020-07-31,,,,,,,,,,3170000
웨일즈,2020-08-01,,,,,,,,,,3170000
웨일즈,2020-08-02,,,,,,,,,,3170000
웨일즈,2020-08-03,,,,,,,,,,3170000
웨일즈,2020-08-04,,,,,,,,,,3170000
웨일즈,2020-08-05,,,,,,,,,,3170000
웨일즈,2020-08-06,,,,,,,,,,3170000
웨일즈,2020-08-07,,,,,,,,,,3170000
웨일즈,2020-08-08,,,,,,,,,,3170000
웨일즈,2020-08-09,,,,,,,,,,3170000
웨일즈,2020-08-10,,,,,,,,,,3170000
웨일즈,2020-08-11,,,,,,,,,,3170000
웨일즈,2020-08-12,,,,,,,,,,3170000
웨일즈,2020-08-13,,,,,,,,,,3170000
웨일즈,2020-08-14,,,,,,,,,,3170000
웨일즈,2020-08-15,,,,,,,,,,3170000
웨일즈,2020-08-16,,,,,,,,,,3170000
웨일즈,2020-08-17,,,,,,,,,,3170000
웨일즈,2020-08-18,,,,,,,,,,3170000
웨일즈,2020-08-19,,,,,,,,,,3170000
웨일즈,2020-08-20,,,,,,,,,,3170000
웨일즈,2020-08-21,,,,,,,,,,3170000
웨일즈,2020-08-22,,,,,,,,,,3170000
웨일즈,2020-08-23,,,,,,,,,,3170000
웨일즈,2020-08-24,,,,,,,,,,3170000
웨일즈,2020-08-25,,,,,,,,,,3170000
웨일즈,2020-08-26,,,,,,,,,,3170000
웨일즈,2020-08-27,,,,,,,,,,3170000
웨일즈,2020-08-28,,,,,,,,,,3170000
웨일즈,2020-08-29,,,,,,,,,,3170000
웨일즈,2020-08-30,,,,,,,,,,3170000
웨일즈,2020-08-31,,,,,,,,,,3170000
웨일즈,2020-09-01,,,,,,,,,,3170000
웨일즈,2020-09-02,,,,,,,,,,3170000
웨일즈,2020-09-03,,,,,,,,,,3170000
웨일즈,2020-09-04,,,,,,,,,,3170000
웨일즈,2020-09-05,,,,,,,,,,3170000
웨일즈,2020-09-06,,,,,,,,,,3170000
웨일즈,2020-09-07,,,,,,,,,,3170000
웨일즈,2020-09-08,,,,,,,,,,3170000
웨일즈,2020-09-09,,,,,,,,,,3170000
웨일즈,2020-09-10,,,,,,,,,,3170000
웨일즈,2020-09-11,,,,,,,,,,3170000
웨일즈,2020-09-12,,,,,,,,,,3170000
웨일즈,2020-09-13,,,,,,,,,,3170000
웨일즈,2020-09-14,,,,,,,,,,3170000
웨일즈,2020-09-15,,,,,,,,,,3170000
웨일즈,2020-09-16,,,,,,,,,,3170000
웨일즈,2020-09-17,,,,,,,,,,3170000
웨일즈,2020-09-18,,,,,,,,,,3170000
웨일즈,2020-09-19,,,,,,,,,,3170000
웨일즈,2020-09-20,,,,,,,,,,3170000
웨일즈,2020-09-21,,,,,,,,,,3170000
웨일즈,2020-09-22,,,,,,,,,,3170000
웨일즈,2020-09-23,,,,,,,,,,3170000
웨일즈,2020-09-24,,,,,,,,,,3170000
웨일즈,2020-09-25,,,,,,,,,,3170000
웨일즈,2020-09-26,,,,,,,,,,3170000
웨일즈,2020-09-27,,,,,,,,,,3170000
웨일즈,2020-09-28,,,,,,,,,,3170000
웨일즈,2020-09-29,,,,,,,,,,3170000
웨일즈,2020-09-30,,,,,,,,,,3170000
웨일즈,2020-10-01,,,,,,,,,,3170000
웨일즈,2020-10-02,,,,,,,,,,3170000
웨일즈,2020-10-03,,,,,,,,,,3170000
웨일즈,2020-10-04,,,,,,,,,,3170000
웨일즈,2020-10-05,,,,,,,,,,3170000
웨일즈,2020-10-06,,,,,,,,,,3170000
웨일즈,2020-10-07,,,,,,,,,,3170000
웨일즈,2020-10-08,,,,,,,,,,3170000
웨일즈,2020-10-09,,,,,,,,,,3170000
웨일즈,2020-10-10,,,,,,,,,,3170000
웨일즈,2020-10-11,,,,,,,,,,3170000
웨일즈,2020-10-12,,,,,,,,,,3170000
웨일즈,2020-10-13,,,,,,,,,,3170000
웨일즈,2020-10-14,,,,,,,,,,3170000
웨일즈,2020-10-15,,,,,,,,,,3170000
웨일즈,2020-10-16,,,,,,,,,,3170000
웨일즈,2020-10-17,,,,,,,,,,3170000
웨일즈,2020-10-18,,,,,,,,,,3170000
웨일즈,2020-10-19,,,,,,,,,,3170000
웨일즈,2020-10-20,,,,,,,,,,3170000
웨일즈,2020-10-21,,,,,,,,,,3170000
웨일즈,2020-10-22,,,,,,,,,,3170000
웨일즈,2020-10-23,,,,,,,,,,3170000
웨일즈,2020-10-24,,,,,,,,,,3170000
웨일즈,2020-10-25,,,,,,,,,,3170000
웨일즈,2020-10-26,,,,,,,,,,3170000
웨일즈,2020-10-27,,,,,,,,,,3170000
웨일즈,2020-10-28,,,,,,,,,,3170000
웨일즈,2020-10-29,,,,,,,,,,3170000
웨일즈,2020-10-30,,,,,,,,,,3170000
웨일즈,2020-10-31,,,,,,,,,,3170000
웨일즈,2020-11-01,,,,,,,,,,3170000
웨일즈,2020-11-02,,,,,,,,,,3170000
웨일즈,2020-11-03,,,,,,,,,,3170000
웨일즈,2020-11-04,,,,,,,,,,3170000
웨일즈,2020-11-05,,,,,,,,,,3170000
웨일즈,2020-11-06,,,,,,,,,,3170000
웨일즈,2020-11-07,,,,,,,,,,3170000
웨일즈,2020-11-08,,,,,,,,,,3170000
웨일즈,2020-11-09,,,,,,,,,,3170000
웨일즈,2020-11-10,,,,,,,,,,3170000
웨일즈,2020-11-11,,,,,,,,,,3170000
웨일즈,2020-11-12,,,,,,,,,,3170000
웨일즈,2020-11-13,,,,,,,,,,3170000
웨일즈,2020-11-14,,,,,,,,,,3170000
웨일즈,2020-11-15,,,,,,,,,,3170000
웨일즈,2020-11-16,,,,,,,,,,3170000
웨일즈,2020-11-17,,,,,,,,,,3170000
웨일즈,2020-11-18,,,,,,,,,,3170000
웨일즈,2020-11-19,,,,,,,,,,3170000
웨일즈,2020-11-20,,,,,,,,,,3170000
웨일즈,2020-11-21,,,,,,,,,,3170000
웨일즈,2020-11-22,,,,,,,,,,3170000
웨일즈,2020-11-23,,,,,,,,,,3170000
웨일즈,2020-11-24,,,,,,,,,,3170000
웨일즈,2020-11-25,,,,,,,,,,3170000
웨일즈,2020-11-26,,,,,,,,,,3170000
웨일즈,2020-11-27,,,,,,,,,,3170000
웨일즈,2020-11-28,,,,,,,,,,3170000
웨일즈,2020-11-29,,,,,,,,,,3170000
웨일즈,2020-11-30,,,,,,,,,,3170000
웨일즈,2020-12-01,,,,,,,,,,3170000
웨일즈,2020-12-02,,,,,,,,,,3170000
웨일즈,2020-12-03,,,,,,,,,,3170000
웨일즈,2020-12-04,,,,,,,,,,3170000
웨일즈,2020-12-05,,,,,,,,,,3170000
웨일즈,2020-12-06,,,,,,,,,,3170000
웨일즈,2020-12-07,,,,,,,,,,3170000
웨일즈,2020-12-08,,,,,,,,,,3170000
웨일즈,2020-12-09,,,,,,,,,,3170000
웨일즈,2020-12-10,,,,,,,,,,3170000
웨일즈,2020-12-11,,,,,,,,,,3170000
웨일즈,2020-12-12,,,,,,,,,,3170000
웨일즈,2020-12-13,,,,,,,,,,3170000
웨일즈,2020-12-14,,,,,,,,,,3170000
웨일즈,2020-12-15,,,,,,,,,,3170000
웨일즈,2020-12-16,,,,,,,,,,3170000
웨일즈,2020-12-17,,,,,,,,,,3170000
웨일즈,2020-12-18,,,,,,,,,,3170000
웨일즈,2020-12-19,,,,,,,,,,3170000
웨일즈,2020-12-20,,,,,,,,,,3170000
웨일즈,2020-12-21,,,,,,,,,,3170000
웨일즈,2020-12-22,,,,,,,,,,3170000
웨일즈,2020-12-23,,,,,,,,,,3170000
웨일즈,2020-12-24,,,,,,,,,,3170000
웨일즈,2020-12-25,,,,,,,,,,3170000
웨일즈,2020-12-26,,,,,,,,,,3170000
웨일즈,2020-12-27,,,,,,,,,,3170000
웨일즈,2020-12-28,,,,,,,,,,3170000
웨일즈,2020-12-29,,,,,,,,,,3170000
웨일즈,2020-12-30,,,,,,,,,,3170000
웨일즈,2020-12-31,,,,,,,,,,3170000
웨일즈,2021-01-01,,,,,,,,,,3170000
웨일즈,2021-01-02,,,,,,,,,,3170000
웨일즈,2021-01-03,,,,,,,,,,3170000
웨일즈,2021-01-04,,,,,,,,,,3170000
웨일즈,2021-01-05,,,,,,,,,,3170000
웨일즈,2021-01-06,,,,,,,,,,3170000
웨일즈,2021-01-07,,,,,,,,,,3170000
웨일즈,2021-01-08,,,,,,,,,,3170000
웨일즈,2021-01-09,,,,,,,,,,3170000
웨일즈,2021-01-10,,,,,86118.0,86039.0,79.0,,,3170000
웨일즈,2021-01-11,,,,,91336.0,91239.0,97.0,,,3170000
웨일즈,2021-01-12,,,,,101479.0,101371.0,108.0,,,3170000
웨일즈,2021-01-13,,,,,113094.0,112973.0,121.0,,,3170000
웨일즈,2021-01-14,,,,,126504.0,126375.0,129.0,,,3170000
웨일즈,2021-01-15,,,,,,,,,,3170000
웨일즈,2021-01-16,,,,,,,,,,3170000
웨일즈,2021-01-17,,,,,151938.0,151737.0,201.0,,,3170000
웨일즈,2021-01-18,,,,,162197.0,161932.0,265.0,,,3170000
웨일즈,2021-01-19,,,,,176186.0,175816.0,370.0,,,3170000
웨일즈,2021-01-20,,,,,190831.0,190435.0,396.0,,,3170000
웨일즈,2021-01-21,,,,,212732.0,212317.0,415.0,,,3170000
웨일즈,2021-01-22,,,,,241016.0,240547.0,469.0,,,3170000
웨일즈,2021-01-23,,,,,265054.0,264538.0,516.0,,,3170000
웨일즈,2021-01-24,,,,,271376.0,270833.0,543.0,,,3170000
웨일즈,2021-01-25,,,,,290147.0,289566.0,581.0,,,3170000
웨일즈,2021-01-26,,,,,312944.0,312305.0,639.0,,,3170000
웨일즈,2021-01-27,,,,,336745.0,336071.0,674.0,,,3170000
웨일즈,2021-01-28,,,,,362970.0,362253.0,717.0,,,3170000
웨일즈,2021-01-29,,,,,378950.0,378200.0,750.0,,,3170000
웨일즈,2021-01-30,,,,,404249.0,403463.0,786.0,,,3170000
웨일즈,2021-01-31,,,,,417147.0,416306.0,841.0,,,3170000
웨일즈,2021-02-01,,,,,440706.0,439640.0,1066.0,,,3170000
웨일즈,2021-02-02,,,,,463657.0,462497.0,1160.0,,,3170000
웨일즈,2021-02-03,,,,,491786.0,490570.0,1216.0,,,3170000
웨일즈,2021-02-04,,,,,524677.0,523042.0,1635.0,,,3170000
웨일즈,2021-02-05,,,,,559468.0,556997.0,2471.0,,,3170000
웨일즈,2021-02-06,,,,,592228.0,589622.0,2606.0,,,3170000
웨일즈,2021-02-07,,,,,606768.0,603976.0,2792.0,,,3170000
웨일즈,2021-02-08,,,,,632251.0,628760.0,3491.0,,,3170000
웨일즈,2021-02-09,,,,,659106.0,655419.0,3687.0,,,3170000
웨일즈,2021-02-10,,,,,687892.0,684097.0,3795.0,,,3170000
웨일즈,2021-02-11,,,,,719954.0,715944.0,4010.0,,,3170000
웨일즈,2021-02-12,,,,,753669.0,749445.0,4224.0,,,3170000
웨일즈,2021-02-13,,,,,776224.0,771651.0,4573.0,,,3170000
웨일즈,2021-02-14,,,,,790211.0,784809.0,5402.0,,,3170000
웨일즈,2021-02-15,,,,,803178.0,795927.0,7251.0,,,3170000
웨일즈,2021-02-16,,,,,820339.0,807351.0,12988.0,,,3170000
웨일즈,2021-02-17,,,,,841975.0,822633.0,19342.0,,,3170000
웨일즈,2021-02-18,,,,,864498.0,839065.0,25433.0,,,3170000
웨일즈,2021-02-19,,,,,885906.0,853904.0,32002.0,,,3170000
웨일즈,2021-02-20,,,,,897856.0,860083.0,37773.0,,,3170000
웨일즈,2021-02-21,,,,,905000.0,862248.0,42752.0,,,3170000
웨일즈,2021-02-22,,,,,919382.0,869653.0,49729.0,,,3170000
웨일즈,2021-02-23,,,,,937785.0,878506.0,59279.0,,,3170000
웨일즈,2021-02-24,,,,,959121.0,889270.0,69851.0,,,3170000
웨일즈,2021-02-25,,,,,982396.0,902334.0,80062.0,,,3170000
웨일즈,2021-02-26,,,,,1005389.0,916336.0,89053.0,,,3170000
웨일즈,2021-02-27,,,,,1020023.0,923615.0,96408.0,,,3170000
웨일즈,2021-02-28,,,,,1029488.0,925669.0,103819.0,,,3170000
웨일즈,2021-03-01,,,,,1045201.0,933485.0,111716.0,,,3170000
웨일즈,2021-03-02,,,,,1066798.0,942017.0,124781.0,,,3170000
웨일즈,2021-03-03,,,,,1090985.0,951540.0,139445.0,,,3170000
