location,date,total_cases,total_deaths,reproduction_rate,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,stringency_index,diabetes_prevalence,population
아이티,2020-01-03,,,,,,,,0.0,6.65,11585003
아이티,2020-01-04,,,,,,,,0.0,6.65,11585003
아이티,2020-01-05,,,,,,,,0.0,6.65,11585003
아이티,2020-01-06,,,,,,,,0.0,6.65,11585003
아이티,2020-01-07,,,,,,,,0.0,6.65,11585003
아이티,2020-01-08,,,,,,,,0.0,6.65,11585003
아이티,2020-01-09,,,,,,,,0.0,6.65,11585003
아이티,2020-01-10,,,,,,,,0.0,6.65,11585003
아이티,2020-01-11,,,,,,,,0.0,6.65,11585003
아이티,2020-01-12,,,,,,,,0.0,6.65,11585003
아이티,2020-01-13,,,,,,,,0.0,6.65,11585003
아이티,2020-01-14,,,,,,,,0.0,6.65,11585003
아이티,2020-01-15,,,,,,,,0.0,6.65,11585003
아이티,2020-01-16,,,,,,,,0.0,6.65,11585003
아이티,2020-01-17,,,,,,,,0.0,6.65,11585003
아이티,2020-01-18,,,,,,,,0.0,6.65,11585003
아이티,2020-01-19,,,,,,,,0.0,6.65,11585003
아이티,2020-01-20,,,,,,,,0.0,6.65,11585003
아이티,2020-01-21,,,,,,,,0.0,6.65,11585003
아이티,2020-01-22,,,,,,,,0.0,6.65,11585003
아이티,2020-01-23,,,,,,,,0.0,6.65,11585003
아이티,2020-01-24,,,,,,,,0.0,6.65,11585003
아이티,2020-01-25,,,,,,,,0.0,6.65,11585003
아이티,2020-01-26,,,,,,,,0.0,6.65,11585003
아이티,2020-01-27,,,,,,,,0.0,6.65,11585003
아이티,2020-01-28,,,,,,,,0.0,6.65,11585003
아이티,2020-01-29,,,,,,,,0.0,6.65,11585003
아이티,2020-01-30,,,,,,,,0.0,6.65,11585003
아이티,2020-01-31,,,,,,,,0.0,6.65,11585003
아이티,2020-02-01,,,,,,,,0.0,6.65,11585003
아이티,2020-02-02,,,,,,,,0.0,6.65,11585003
아이티,2020-02-03,,,,,,,,0.0,6.65,11585003
아이티,2020-02-04,,,,,,,,2.78,6.65,11585003
아이티,2020-02-05,,,,,,,,2.78,6.65,11585003
아이티,2020-02-06,,,,,,,,2.78,6.65,11585003
아이티,2020-02-07,,,,,,,,2.78,6.65,11585003
아이티,2020-02-08,,,,,,,,2.78,6.65,11585003
아이티,2020-02-09,,,,,,,,2.78,6.65,11585003
아이티,2020-02-10,,,,,,,,2.78,6.65,11585003
아이티,2020-02-11,,,,,,,,2.78,6.65,11585003
아이티,2020-02-12,,,,,,,,2.78,6.65,11585003
아이티,2020-02-13,,,,,,,,2.78,6.65,11585003
아이티,2020-02-14,,,,,,,,2.78,6.65,11585003
아이티,2020-02-15,,,,,,,,2.78,6.65,11585003
아이티,2020-02-16,,,,,,,,2.78,6.65,11585003
아이티,2020-02-17,,,,,,,,2.78,6.65,11585003
아이티,2020-02-18,,,,,,,,2.78,6.65,11585003
아이티,2020-02-19,,,,,,,,2.78,6.65,11585003
아이티,2020-02-20,,,,,,,,2.78,6.65,11585003
아이티,2020-02-21,,,,,,,,2.78,6.65,11585003
아이티,2020-02-22,,,,,,,,2.78,6.65,11585003
아이티,2020-02-23,,,,,,,,2.78,6.65,11585003
아이티,2020-02-24,,,,,,,,2.78,6.65,11585003
아이티,2020-02-25,,,,,,,,2.78,6.65,11585003
아이티,2020-02-26,,,,,,,,2.78,6.65,11585003
아이티,2020-02-27,,,,,,,,2.78,6.65,11585003
아이티,2020-02-28,,,,,,,,2.78,6.65,11585003
아이티,2020-02-29,,,,,,,,2.78,6.65,11585003
아이티,2020-03-01,,,,,,,,2.78,6.65,11585003
아이티,2020-03-02,,,,,,,,2.78,6.65,11585003
아이티,2020-03-03,,,,,,,,8.33,6.65,11585003
아이티,2020-03-04,,,,,,,,8.33,6.65,11585003
아이티,2020-03-05,,,,,,,,8.33,6.65,11585003
아이티,2020-03-06,,,,,,,,8.33,6.65,11585003
아이티,2020-03-07,,,,,,,,8.33,6.65,11585003
아이티,2020-03-08,,,,,,,,8.33,6.65,11585003
아이티,2020-03-09,,,,,,,,8.33,6.65,11585003
아이티,2020-03-10,,,,,,,,8.33,6.65,11585003
아이티,2020-03-11,,,,,,,,8.33,6.65,11585003
아이티,2020-03-12,,,,,,,,13.89,6.65,11585003
아이티,2020-03-13,,,,,,,,13.89,6.65,11585003
아이티,2020-03-14,,,,,,,,13.89,6.65,11585003
아이티,2020-03-15,,,,,,,,25.0,6.65,11585003
아이티,2020-03-16,,,,,,,,30.56,6.65,11585003
아이티,2020-03-17,,,,,,,,30.56,6.65,11585003
아이티,2020-03-18,,,,,,,,30.56,6.65,11585003
아이티,2020-03-19,,,,,,,,82.41,6.65,11585003
아이티,2020-03-20,,,,,,,,82.41,6.65,11585003
아이티,2020-03-21,2.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-22,2.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-23,2.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-24,5.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-25,7.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-26,7.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-27,8.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-28,8.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-29,8.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-30,15.0,,,,,,,82.41,6.65,11585003
아이티,2020-03-31,15.0,,,,,,,82.41,6.65,11585003
아이티,2020-04-01,15.0,,,,,,,82.41,6.65,11585003
아이티,2020-04-02,16.0,,,,,,,82.41,6.65,11585003
아이티,2020-04-03,16.0,,,,,,,82.41,6.65,11585003
아이티,2020-04-04,18.0,,,,,,,82.41,6.65,11585003
아이티,2020-04-05,18.0,,,,,,,82.41,6.65,11585003
아이티,2020-04-06,21.0,,,,,,,90.74,6.65,11585003
아이티,2020-04-07,24.0,1.0,,,,,,90.74,6.65,11585003
아이티,2020-04-08,25.0,1.0,,,,,,90.74,6.65,11585003
아이티,2020-04-09,27.0,1.0,,,,,,90.74,6.65,11585003
아이티,2020-04-10,30.0,2.0,,,,,,90.74,6.65,11585003
아이티,2020-04-11,30.0,2.0,,,,,,90.74,6.65,11585003
아이티,2020-04-12,31.0,2.0,,,,,,90.74,6.65,11585003
아이티,2020-04-13,31.0,2.0,,,,,,90.74,6.65,11585003
아이티,2020-04-14,40.0,3.0,,,,,,90.74,6.65,11585003
아이티,2020-04-15,40.0,3.0,,,,,,90.74,6.65,11585003
아이티,2020-04-16,41.0,3.0,,,,,,90.74,6.65,11585003
아이티,2020-04-17,41.0,3.0,,,,,,90.74,6.65,11585003
아이티,2020-04-18,43.0,3.0,,,,,,90.74,6.65,11585003
아이티,2020-04-19,44.0,3.0,,,,,,93.52,6.65,11585003
아이티,2020-04-20,44.0,3.0,,,,,,89.81,6.65,11585003
아이티,2020-04-21,47.0,3.0,,,,,,89.81,6.65,11585003
아이티,2020-04-22,57.0,3.0,,,,,,89.81,6.65,11585003
아이티,2020-04-23,58.0,4.0,,,,,,89.81,6.65,11585003
아이티,2020-04-24,62.0,4.0,,,,,,89.81,6.65,11585003
아이티,2020-04-25,72.0,5.0,,,,,,89.81,6.65,11585003
아이티,2020-04-26,72.0,6.0,,,,,,89.81,6.65,11585003
아이티,2020-04-27,72.0,6.0,,,,,,89.81,6.65,11585003
아이티,2020-04-28,74.0,6.0,,,,,,89.81,6.65,11585003
아이티,2020-04-29,76.0,6.0,,,,,,89.81,6.65,11585003
아이티,2020-04-30,76.0,6.0,,,,,,89.81,6.65,11585003
아이티,2020-05-01,76.0,7.0,,,,,,89.81,6.65,11585003
아이티,2020-05-02,81.0,8.0,,,,,,89.81,6.65,11585003
아이티,2020-05-03,85.0,8.0,,,,,,89.81,6.65,11585003
아이티,2020-05-04,85.0,8.0,,,,,,89.81,6.65,11585003
아이티,2020-05-05,88.0,9.0,,,,,,89.81,6.65,11585003
아이티,2020-05-06,100.0,11.0,,,,,,89.81,6.65,11585003
아이티,2020-05-07,101.0,12.0,1.46,,,,,89.81,6.65,11585003
아이티,2020-05-08,108.0,12.0,1.46,,,,,89.81,6.65,11585003
아이티,2020-05-09,129.0,12.0,1.47,,,,,89.81,6.65,11585003
아이티,2020-05-10,146.0,12.0,1.47,,,,,89.81,6.65,11585003
아이티,2020-05-11,151.0,12.0,1.47,,,,,89.81,6.65,11585003
아이티,2020-05-12,182.0,15.0,1.48,,,,,89.81,6.65,11585003
아이티,2020-05-13,209.0,16.0,1.48,,,,,89.81,6.65,11585003
아이티,2020-05-14,219.0,18.0,1.49,,,,,89.81,6.65,11585003
아이티,2020-05-15,234.0,18.0,1.49,,,,,89.81,6.65,11585003
아이티,2020-05-16,273.0,20.0,1.5,,,,,89.81,6.65,11585003
아이티,2020-05-17,310.0,20.0,1.5,,,,,89.81,6.65,11585003
아이티,2020-05-18,358.0,20.0,1.5,,,,,89.81,6.65,11585003
아이티,2020-05-19,456.0,20.0,1.5,,,,,89.81,6.65,11585003
아이티,2020-05-20,533.0,21.0,1.5,,,,,89.81,6.65,11585003
아이티,2020-05-21,596.0,22.0,1.49,,,,,89.81,6.65,11585003
아이티,2020-05-22,663.0,22.0,1.48,,,,,89.81,6.65,11585003
아이티,2020-05-23,734.0,25.0,1.47,,,,,89.81,6.65,11585003
아이티,2020-05-24,812.0,25.0,1.46,,,,,89.81,6.65,11585003
아이티,2020-05-25,865.0,26.0,1.45,,,,,89.81,6.65,11585003
아이티,2020-05-26,958.0,27.0,1.44,,,,,89.81,6.65,11585003
아이티,2020-05-27,1063.0,31.0,1.43,,,,,89.81,6.65,11585003
아이티,2020-05-28,1174.0,33.0,1.42,,,,,89.81,6.65,11585003
아이티,2020-05-29,1320.0,34.0,1.41,,,,,89.81,6.65,11585003
아이티,2020-05-30,1443.0,35.0,1.39,,,,,89.81,6.65,11585003
아이티,2020-05-31,1584.0,35.0,1.38,,,,,89.81,6.65,11585003
아이티,2020-06-01,1865.0,41.0,1.37,,,,,89.81,6.65,11585003
아이티,2020-06-02,2124.0,44.0,1.35,,,,,80.56,6.65,11585003
아이티,2020-06-03,2226.0,45.0,1.33,,,,,80.56,6.65,11585003
아이티,2020-06-04,2507.0,48.0,1.31,,,,,80.56,6.65,11585003
아이티,2020-06-05,2604.0,50.0,1.28,,,,,80.56,6.65,11585003
아이티,2020-06-06,2640.0,50.0,1.26,,,,,80.56,6.65,11585003
아이티,2020-06-07,2924.0,50.0,1.25,,,,,80.56,6.65,11585003
아이티,2020-06-08,3072.0,50.0,1.23,,,,,80.56,6.65,11585003
아이티,2020-06-09,3334.0,51.0,1.21,,,,,80.56,6.65,11585003
아이티,2020-06-10,3538.0,54.0,1.19,,,,,80.56,6.65,11585003
아이티,2020-06-11,3662.0,56.0,1.17,,,,,80.56,6.65,11585003
아이티,2020-06-12,3796.0,58.0,1.15,,,,,80.56,6.65,11585003
아이티,2020-06-13,3941.0,64.0,1.13,,,,,80.56,6.65,11585003
아이티,2020-06-14,3941.0,64.0,1.12,,,,,80.56,6.65,11585003
아이티,2020-06-15,4165.0,70.0,1.1,,,,,80.56,6.65,11585003
아이티,2020-06-16,4309.0,73.0,1.09,,,,,80.56,6.65,11585003
아이티,2020-06-17,4441.0,76.0,1.08,,,,,80.56,6.65,11585003
아이티,2020-06-18,4547.0,80.0,1.06,,,,,80.56,6.65,11585003
아이티,2020-06-19,4688.0,82.0,1.05,,,,,80.56,6.65,11585003
아이티,2020-06-20,4916.0,84.0,1.04,,,,,80.56,6.65,11585003
아이티,2020-06-21,4980.0,87.0,1.02,,,,,80.56,6.65,11585003
아이티,2020-06-22,5077.0,88.0,1.01,,,,,80.56,6.65,11585003
아이티,2020-06-23,5211.0,88.0,1.0,,,,,77.78,6.65,11585003
아이티,2020-06-24,5216.0,88.0,0.99,,,,,77.78,6.65,11585003
아이티,2020-06-25,5324.0,89.0,0.98,,,,,77.78,6.65,11585003
아이티,2020-06-26,5429.0,92.0,0.97,,,,,77.78,6.65,11585003
아이티,2020-06-27,5543.0,96.0,0.96,,,,,77.78,6.65,11585003
아이티,2020-06-28,5722.0,98.0,0.96,,,,,77.78,6.65,11585003
아이티,2020-06-29,5722.0,98.0,0.95,,,,,77.78,6.65,11585003
아이티,2020-06-30,5847.0,104.0,0.94,,,,,72.22,6.65,11585003
아이티,2020-07-01,5933.0,105.0,0.93,,,,,72.22,6.65,11585003
아이티,2020-07-02,5975.0,105.0,0.92,,,,,72.22,6.65,11585003
아이티,2020-07-03,6040.0,107.0,0.92,,,,,72.22,6.65,11585003
아이티,2020-07-04,6101.0,110.0,0.91,,,,,72.22,6.65,11585003
아이티,2020-07-05,6230.0,110.0,0.91,,,,,72.22,6.65,11585003
아이티,2020-07-06,6294.0,113.0,0.9,,,,,72.22,6.65,11585003
아이티,2020-07-07,6333.0,113.0,0.9,,,,,72.22,6.65,11585003
아이티,2020-07-08,6371.0,113.0,0.89,,,,,72.22,6.65,11585003
아이티,2020-07-09,6432.0,117.0,0.89,,,,,72.22,6.65,11585003
아이티,2020-07-10,6486.0,123.0,0.89,,,,,72.22,6.65,11585003
아이티,2020-07-11,6582.0,130.0,0.89,,,,,72.22,6.65,11585003
아이티,2020-07-12,6617.0,135.0,0.88,,,,,72.22,6.65,11585003
아이티,2020-07-13,6690.0,139.0,0.88,,,,,72.22,6.65,11585003
아이티,2020-07-14,6727.0,139.0,0.88,,,,,72.22,6.65,11585003
아이티,2020-07-15,6727.0,141.0,0.88,,,,,69.44,6.65,11585003
아이티,2020-07-16,6831.0,143.0,0.88,,,,,69.44,6.65,11585003
아이티,2020-07-17,6902.0,145.0,0.88,,,,,69.44,6.65,11585003
아이티,2020-07-18,6948.0,145.0,0.87,,,,,69.44,6.65,11585003
아이티,2020-07-19,6975.0,146.0,0.87,,,,,69.44,6.65,11585003
아이티,2020-07-20,7053.0,146.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-21,7063.0,146.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-22,7100.0,151.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-23,7146.0,154.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-24,7167.0,154.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-25,7197.0,154.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-26,7260.0,156.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-27,7297.0,157.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-28,7315.0,157.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-29,7340.0,158.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-30,7371.0,158.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-07-31,7378.0,159.0,0.87,,,,,28.7,6.65,11585003
아이티,2020-08-01,7412.0,161.0,0.88,,,,,28.7,6.65,11585003
아이티,2020-08-02,7424.0,161.0,0.88,,,,,28.7,6.65,11585003
아이티,2020-08-03,7468.0,165.0,0.89,,,,,28.7,6.65,11585003
아이티,2020-08-04,7476.0,165.0,0.89,,,,,28.7,6.65,11585003
아이티,2020-08-05,7511.0,166.0,0.9,,,,,28.7,6.65,11585003
아이티,2020-08-06,7532.0,171.0,0.9,,,,,28.7,6.65,11585003
아이티,2020-08-07,7544.0,171.0,0.91,,,,,28.7,6.65,11585003
아이티,2020-08-08,7582.0,171.0,0.92,,,,,28.7,6.65,11585003
아이티,2020-08-09,7599.0,177.0,0.92,,,,,28.7,6.65,11585003
아이티,2020-08-10,7611.0,182.0,0.93,,,,,25.0,6.65,11585003
아이티,2020-08-11,7634.0,183.0,0.94,,,,,25.0,6.65,11585003
아이티,2020-08-12,7649.0,183.0,0.95,,,,,25.0,6.65,11585003
아이티,2020-08-13,7743.0,187.0,0.96,,,,,25.0,6.65,11585003
아이티,2020-08-14,7781.0,192.0,0.95,,,,,25.0,6.65,11585003
아이티,2020-08-15,7810.0,192.0,0.95,,,,,25.0,6.65,11585003
아이티,2020-08-16,7831.0,196.0,0.95,,,,,25.0,6.65,11585003
아이티,2020-08-17,7879.0,196.0,0.95,,,,,21.3,6.65,11585003
아이티,2020-08-18,7897.0,196.0,0.95,,,,,21.3,6.65,11585003
아이티,2020-08-19,7921.0,196.0,0.95,,,,,21.3,6.65,11585003
아이티,2020-08-20,7949.0,196.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-21,7997.0,196.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-22,8016.0,196.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-23,8050.0,196.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-24,8082.0,196.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-25,8110.0,196.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-26,8112.0,196.0,0.93,,,,,21.3,6.65,11585003
아이티,2020-08-27,8122.0,197.0,0.93,,,,,21.3,6.65,11585003
아이티,2020-08-28,8151.0,200.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-29,8161.0,201.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-30,8174.0,201.0,0.94,,,,,21.3,6.65,11585003
아이티,2020-08-31,8209.0,201.0,0.95,,,,,21.3,6.65,11585003
아이티,2020-09-01,8224.0,201.0,0.95,,,,,21.3,6.65,11585003
아이티,2020-09-02,8224.0,201.0,0.95,,,,,21.3,6.65,11585003
아이티,2020-09-03,8258.0,206.0,0.96,,,,,21.3,6.65,11585003
아이티,2020-09-04,8258.0,206.0,0.96,,,,,21.3,6.65,11585003
아이티,2020-09-05,8326.0,212.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-06,8326.0,212.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-07,8360.0,214.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-08,8360.0,214.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-09,8362.0,214.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-10,8376.0,214.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-11,8429.0,215.0,0.98,,,,,21.3,6.65,11585003
아이티,2020-09-12,8457.0,216.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-13,8457.0,216.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-14,8478.0,219.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-15,8493.0,219.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-16,8499.0,219.0,0.97,,,,,21.3,6.65,11585003
아이티,2020-09-17,8530.0,220.0,0.98,,,,,21.3,6.65,11585003
아이티,2020-09-18,8556.0,220.0,0.98,,,,,21.3,6.65,11585003
아이티,2020-09-19,8556.0,220.0,0.98,,,,,21.3,6.65,11585003
아이티,2020-09-20,8600.0,221.0,0.98,,,,,21.3,6.65,11585003
아이티,2020-09-21,8600.0,221.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-22,8624.0,221.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-23,8624.0,221.0,0.97,,,,,47.22,6.65,11585003
아이티,2020-09-24,8646.0,225.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-25,8646.0,225.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-26,8684.0,227.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-27,8684.0,227.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-28,8723.0,227.0,0.99,,,,,47.22,6.65,11585003
아이티,2020-09-29,8740.0,227.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-09-30,8740.0,227.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-01,8766.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-02,8766.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-03,8792.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-04,8792.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-05,8819.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-06,8819.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-07,8819.0,229.0,0.98,,,,,47.22,6.65,11585003
아이티,2020-10-08,8838.0,229.0,0.99,,,,,47.22,6.65,11585003
아이티,2020-10-09,8854.0,230.0,0.99,,,,,47.22,6.65,11585003
아이티,2020-10-10,8854.0,230.0,1.0,,,,,47.22,6.65,11585003
아이티,2020-10-11,8860.0,230.0,1.0,,,,,47.22,6.65,11585003
아이티,2020-10-12,8882.0,230.0,1.01,,,,,47.22,6.65,11585003
